Date,Adj Close,Close,High,Low,Open,Volume
2006-12-08,1896.5999755859375,1896.5999755859375,1903.31005859375,1888.449951171875,1894.6099853515625,0
2006-12-11,1898.18994140625,1898.18994140625,1902.4200439453125,1893.0400390625,1896.5999755859375,0
2006-12-12,1894.300048828125,1894.300048828125,1898.6199951171875,1886.050048828125,1898.18994140625,0
2006-12-13,1895.0999755859375,1895.0999755859375,1900.9000244140625,1892.7900390625,1894.300048828125,0
2006-12-14,1910.760009765625,1910.760009765625,1913.0,1895.0999755859375,1895.0999755859375,0
2006-12-15,1908.9000244140625,1908.9000244140625,1916.97998046875,1906.699951171875,1910.760009765625,0
2006-12-18,1898.75,1898.75,1913.3699951171875,1896.1500244140625,1908.9000244140625,0
2006-12-19,1900.6300048828125,1900.6300048828125,1904.1600341796875,1886.739990234375,1898.75,0
2006-12-20,1900.68994140625,1900.68994140625,1907.969970703125,1898.9599609375,1900.6300048828125,0
2006-12-21,1892.6600341796875,1892.6600341796875,1904.1099853515625,1889.8900146484375,1900.68994140625,0
2006-12-22,1884.97998046875,1884.97998046875,1893.2900390625,1883.0799560546875,1892.6600341796875,0
2006-12-26,1892.0400390625,1892.0400390625,1893.239990234375,1884.31005859375,1884.97998046875,0
2006-12-27,1904.6700439453125,1904.6700439453125,1905.5699462890625,1892.0400390625,1892.0400390625,0
2006-12-28,1900.699951171875,1900.699951171875,1905.68994140625,1898.2900390625,1904.6700439453125,0
2006-12-29,1891.77001953125,1891.77001953125,1903.72998046875,1889.760009765625,1900.699951171875,0
2007-01-03,1890.1700439453125,1890.1700439453125,1907.7099609375,1878.469970703125,1891.77001953125,0
2007-01-04,1891.969970703125,1891.969970703125,1895.699951171875,1878.050048828125,1890.1700439453125,0
2007-01-05,1878.4200439453125,1878.4200439453125,1891.969970703125,1874.18994140625,1891.969970703125,0
2007-01-08,1883.050048828125,1883.050048828125,1885.780029296875,1872.3299560546875,1878.4200439453125,0
2007-01-09,1885.300048828125,1885.300048828125,1888.25,1875.5699462890625,1883.050048828125,0
2007-01-10,1891.1099853515625,1891.1099853515625,1892.7099609375,1874.260009765625,1885.300048828125,0
2007-01-11,1905.300048828125,1905.300048828125,1909.5400390625,1891.1099853515625,1891.1099853515625,0
2007-01-12,1912.300048828125,1912.300048828125,1913.550048828125,1903.0899658203125,1905.300048828125,0
2007-01-16,1914.3199462890625,1914.3199462890625,1917.550048828125,1910.7099609375,1912.300048828125,0
2007-01-17,1913.260009765625,1913.260009765625,1919.3599853515625,1910.6300048828125,1914.3199462890625,0
2007-01-18,1905.5699462890625,1905.5699462890625,1916.75,1903.6300048828125,1913.260009765625,0
2007-01-19,1914.719970703125,1914.719970703125,1915.3299560546875,1905.4599609375,1905.5699462890625,0
2007-01-22,1904.7900390625,1904.7900390625,1914.97998046875,1901.760009765625,1914.719970703125,0
2007-01-23,1915.3800048828125,1915.3800048828125,1920.5,1904.5400390625,1904.7900390625,0
2007-01-24,1929.530029296875,1929.530029296875,1929.530029296875,1915.3800048828125,1915.3800048828125,0
2007-01-25,1909.75,1909.75,1929.9100341796875,1907.6199951171875,1929.530029296875,0
2007-01-26,1910.699951171875,1910.699951171875,1914.25,1902.4000244140625,1909.75,0
2007-01-29,1910.1099853515625,1910.1099853515625,1918.219970703125,1907.18994140625,1910.699951171875,0
2007-01-30,1921.6500244140625,1921.6500244140625,1921.6500244140625,1910.1099853515625,1910.1099853515625,0
2007-01-31,1935.3800048828125,1935.3800048828125,1939.06005859375,1915.5,1921.6500244140625,0
